,texto,tokens,views
26,fue un gusto celebrar el 65 aniversario de la escuela primaria manuel m diéguez una de las escuelas más antiguas de la ciudad ánimo muchas felicidades,"['fue', 'un', 'gusto', 'celebrar', 'el', '65', 'aniversario', 'de', 'la', 'escuela', 'primaria', 'manuel', 'm', 'diéguez', 'una', 'de', 'las', 'escuelas', 'más', 'antiguas', 'de', 'la', 'ciudad', 'ánimo', 'muchas', 'felicidades']",5731
27,entregamos un merecido reconocimiento a 338 servidores públicos jubilados y pensionados durante el 2023 del,"['entregamos', 'un', 'merecido', 'reconocimiento', 'a', '338', 'servidores', 'públicos', 'jubilados', 'y', 'pensionados', 'durante', 'el', '2023', 'del']",3174
28,,[],3751
29,sabemos que para tener una sociedad igualitaria y respetuosa debemos fomentar la inclusión y la empatía por eso en este día mundial del turismo inauguramos los recorridos turísticos guadalajara bien incluyente,"['sabemos', 'que', 'para', 'tener', 'una', 'sociedad', 'igualitaria', 'y', 'respetuosa', 'debemos', 'fomentar', 'la', 'inclusión', 'y', 'la', 'empatía', 'por', 'eso', 'en', 'este', 'día', 'mundial', 'del', 'turismo', 'inauguramos', 'los', 'recorridos', 'turísticos', 'guadalajara', 'bien', 'incluyente']",4349
30,muchas gracias,"['muchas', 'gracias']",4632
31,guadalajara,['guadalajara'],11.8K
32,autoart está de regreso estamos muy emocionados de volver a ser anfitriones de este evento único y que fusiona el trabajo y talento de 14 artistas locales con el mundo de los autos deportivos de algunas de las marcas más reconocidas este año autoart será un evento con causa ya que apoyaremos a la asociación civil nariz roja ac con la colocación de un buzón para realizar donaciones a favor de nuestras niñas y niños con cáncer,"['autoart', 'está', 'de', 'regreso', 'estamos', 'muy', 'emocionados', 'de', 'volver', 'a', 'ser', 'anfitriones', 'de', 'este', 'evento', 'único', 'y', 'que', 'fusiona', 'el', 'trabajo', 'y', 'talento', 'de', '14', 'artistas', 'locales', 'con', 'el', 'mundo', 'de', 'los', 'autos', 'deportivos', 'de', 'algunas', 'de', 'las', 'marcas', 'más', 'reconocidas', 'este', 'año', 'autoart', 'será', 'un', 'evento', 'con', 'causa', 'ya', 'que', 'apoyaremos', 'a', 'la', 'asociación', 'civil', 'nariz', 'roja', 'ac', 'con', 'la', 'colocación', 'de', 'un', 'buzón', 'para', 'realizar', 'donaciones', 'a', 'favor', 'de', 'nuestras', 'niñas', 'y', 'niños', 'con', 'cáncer']",3746
33,nada como un pan tradicional de guadalajara visitemos nuestros mercados y apoyemos el comercio local,"['nada', 'como', 'un', 'pan', 'tradicional', 'de', 'guadalajara', 'visitemos', 'nuestros', 'mercados', 'y', 'apoyemos', 'el', 'comercio', 'local']",7538
34,venimos a disfrutar en familia de la gran final del gdl open akron wta 1000 2023 un evento deportivo de talla internacional que llegó a la ciudad para quedarse ánimo,"['venimos', 'a', 'disfrutar', 'en', 'familia', 'de', 'la', 'gran', 'final', 'del', 'gdl', 'open', 'akron', 'wta', '1000', '2023', 'un', 'evento', 'deportivo', 'de', 'talla', 'internacional', 'que', 'llegó', 'a', 'la', 'ciudad', 'para', 'quedarse', 'ánimo']",10.4K
35,los invito a visitar la expo emprende joven a partir de las 10 am,"['los', 'invito', 'a', 'visitar', 'la', 'expo', 'emprende', 'joven', 'a', 'partir', 'de', 'las', '10', 'am']",3537
