,texto,tokens
102,siéntase victorioso sr lemus porque el publo lo ama y se agradece que usted si sienta en la sangre nuestra perla tapatia animo guadalajaramuchas gracias por el apoyo ánimo guadalajara,"['siéntase', 'victorioso', 'sr', 'lemus', 'porque', 'el', 'publo', 'lo', 'ama', 'y', 'se', 'agradece', 'que', 'usted', 'si', 'sienta', 'en', 'la', 'sangre', 'nuestra', 'perla', 'tapatia', 'animo', 'guadalajaramuchas', 'gracias', 'por', 'el', 'apoyo', 'ánimo', 'guadalajara']"
103,saludos señor pablo lemussaludos,"['saludos', 'señor', 'pablo', 'lemussaludos']"
104,viva méxico viva méxico,"['viva', 'méxico', 'viva', 'méxico']"
105,,[]
106,saludos césar,"['saludos', 'césar']"
107,,[]
108,pronto darás tu el grito cómo gobernador muchas gracias por el apoyo y confianza ánimo,"['pronto', 'darás', 'tu', 'el', 'grito', 'cómo', 'gobernador', 'muchas', 'gracias', 'por', 'el', 'apoyo', 'y', 'confianza', 'ánimo']"
109,ya mero te toca estar en el palacio de gob a ti lemus vamos con todo el sig añomuchas gracias por el apoyo ánimo,"['ya', 'mero', 'te', 'toca', 'estar', 'en', 'el', 'palacio', 'de', 'gob', 'a', 'ti', 'lemus', 'vamos', 'con', 'todo', 'el', 'sig', 'añomuchas', 'gracias', 'por', 'el', 'apoyo', 'ánimo']"
110,felicidadesánimo,['felicidadesánimo']
111,va quedar de gober animo lic pablo lemusmuchas gracias por el apoyo ánimo,"['va', 'quedar', 'de', 'gober', 'animo', 'lic', 'pablo', 'lemusmuchas', 'gracias', 'por', 'el', 'apoyo', 'ánimo']"
112,el mejor presidente de guadalajara muchas gracias por el apoyo ánimo,"['el', 'mejor', 'presidente', 'de', 'guadalajara', 'muchas', 'gracias', 'por', 'el', 'apoyo', 'ánimo']"
113,ojalá así sea saludos desde zapopan gracias por el apoyo ánimo y saludos hasta zapopan,"['ojalá', 'así', 'sea', 'saludos', 'desde', 'zapopan', 'gracias', 'por', 'el', 'apoyo', 'ánimo', 'y', 'saludos', 'hasta', 'zapopan']"
114,voy a lemus para gobernar jalisco muchas gracias por el apoyo saludos,"['voy', 'a', 'lemus', 'para', 'gobernar', 'jalisco', 'muchas', 'gracias', 'por', 'el', 'apoyo', 'saludos']"
115,le apoyamos a la gobernatura de jalisco con mucho gusto y a sus órdenes muchas gracias por el apoyo ánimo guadalajara,"['le', 'apoyamos', 'a', 'la', 'gobernatura', 'de', 'jalisco', 'con', 'mucho', 'gusto', 'y', 'a', 'sus', 'órdenes', 'muchas', 'gracias', 'por', 'el', 'apoyo', 'ánimo', 'guadalajara']"
116,tienes mi apoyo y mi voto de antemano muchas gracias por el apoyo y confianza seguiremos trabajando bien y de buenas por la ciudad que queremos ánimo,"['tienes', 'mi', 'apoyo', 'y', 'mi', 'voto', 'de', 'antemano', 'muchas', 'gracias', 'por', 'el', 'apoyo', 'y', 'confianza', 'seguiremos', 'trabajando', 'bien', 'y', 'de', 'buenas', 'por', 'la', 'ciudad', 'que', 'queremos', 'ánimo']"
117,si se puede licmuchas gracias saludos,"['si', 'se', 'puede', 'licmuchas', 'gracias', 'saludos']"
118,tienes mi votomuchas gracias por la confianza y el apoyo seguiremos trabajando por la ciudad que queremos ánimo,"['tienes', 'mi', 'votomuchas', 'gracias', 'por', 'la', 'confianza', 'y', 'el', 'apoyo', 'seguiremos', 'trabajando', 'por', 'la', 'ciudad', 'que', 'queremos', 'ánimo']"
