texto,comentarios,repost,likes,views
Estoy convencido de que la honestidad es la base para relaciones sólidas y duraderas. Quiero agradecer de corazón a mis amigos e invitados del #DocCast por compartir este valor y estas experiencias.,5,8,38,848
"Con la fuerza de la unidad, ¡estamos listos para ganar con la Dra. @Claudiashein
!

Nadie detendrá la Transformación de Jalisco en 2024.",128,72,258,29000
"Me sumo a las felicitaciones para una compañera que trabaja cada día por la tranquilidad de todas y todos en México.

¡Más éxitos @rosaicela_
! En Jalisco reconocemos tu labor.",10,6,47,1000
"Los gobiernos naranjas no cumplen sus promesas. 

La lluvia de estos últimos días ha dejado en evidencia la negligencia del presidente municipal de Guadalajara. Su gobierno gasta millones en frivolidades como carruseles y patrullas a sobreprecio, mientras que la ciudad se cae a pedazos.",2,28,54,618
"Amigo @ChavaHernandez_
 , lamento profundamente la pérdida de tu hermano. Deseo que la resignación y la tranquilidad lleguen pronto para ti y tu familia. Abrazo.",1,2,24,628
"Como Regidor de Guadalajara, mi compromiso está con la gente. No son solo palabras, es acción. Trabajamos cada día para cumplir y seguiremos trabajando, porque cuando se promete, se cumple.",6,8,53,1000
"Nuestro presidente  
@lopezobrador_
 , nos ha demostrado que es posible acabar con la corrupción y los privilegios. Su compromiso y su amor por México nos inspira a todas y todos a seguir construyendo un país más justo y próspero. ¡Sigamos avanzando!",3,1,29,575
"Acompañemos en su #5toInforme al hombre que transformó a México. 

¡Por el bien de todas y todos, primero los pobres! ¡Gracias presidente 
@lopezobrador_
 !",1,1,31,741
"¡Buenos días a todos y todas! Espero que hayan descansado y estén listos para empezar un nuevo día con todo. Como siempre, aquí estamos, compartiendo el viaje juntos. Que este día nos traiga oportunidades y sonrisas. ¡A darle con todo!",1,32,41,533
"En El Salto encontramos amistad, confianza y apoyo para defender juntas y juntos la #4T en Jalisco.   Gracias por estar a nuestro lado, su confianza y cariño son nuestro motor. ¡Hagamos historia en Jalisco",1,10,54,928
"Nuestra solidaridad está con las familias de Acapulco, en especial con quienes han perdido a un ser querido debido al huracán Otis. En estos momentos difíciles, la unidad y la ayuda son fundamentales. Te invitamos a contribuir y donar lo necesario en los centros de acopio del @ISSSTE_mx en Guadalajara para apoyar a las personas afectadas en Acapulco. Entre todas y todos, podemos marcar la diferencia y brindar el apoyo tan necesario.",2,7,37,747
"La honestidad me ha llevado a ganarme el respeto y cariño de las personas. No tomo a la ligera sus palabras, aquí, lo que se promete, ¡se cumple!",5,6,34,475
"Me llena de felicidad voltear al pasado y recordar mis inicios en Morena, siempre impulsados por la honestidad, el respeto y el compromiso con el pueblo. ¡Gracias a todos quienes me han acompañado en este camino! Estamos en la recta final de un largo recorrido en el que hemos trabajado mucho, pero estoy convencido de que nos esperan cosas realmente grandes.",27,15,71,2149
"Desde inicios de mi carrera, mi objetivo siempre ha sido ayudar a las personas que más lo necesitan. ¡Muchas gracias a quienes me han acompañado en este camino! Todavía falta mucho por recorrer, pero estoy convencido de que vienen cosas muy grandes.",7,12,58,640
"Hoy, nuestra compañera @MariaPadillaRom rindió su segundo informe como Diputada de Jalisco. Quiero expresar mi profunda admiración por sus incansables esfuerzos en la lucha por la igualdad y la justicia social. María es un ejemplo de valentía y compromiso para todas y todos. ¡Todo nuestro apoyo en tu segundo informe!",1,3,37,498
"Hoy, como cada 25 del mes, conmemoramos el Día para generar conciencia y prevenir la violencia contra mujeres y niñas. Es un día para reflexionar sobre nuestras acciones. Juntas y juntos, hagamos un llamado a la paz y al respeto, ¡hoy y todos los días!",4,13,67,
"En el Día Internacional de la Lucha contra el #CáncerDeMama, como médico y ser humano, quiero unirme a esta causa crucial. Admiro profundamente la valentía de quienes enfrentan esta batalla. La detección temprana es esencial en esta lucha. Invito a todas las jaliscienses a cuidar de su salud y programar revisiones regulares. ¡Juntas y juntos luchemos contra esa enfermedad!",0,2,27,372
"Quiero agradecer de corazón a la Dra. @Claudiashein por ser parte de mi libro. Su historia es una inspiración: desde sus días como una estudiante comprometida y una oradora apasionada, hasta su papel crucial en las luchas estudiantiles de los años 70 y 80. Claudia es un verdadero ejemplo de capacidad y dedicación. Admiro profundamente su liderazgo y su incansable esfuerzo en favor del pueblo. Como bien menciona Arturo Cano en su libro: '¡con personas como Claudia, sabemos que es posible!'. Sigamos trabajando juntos para un México mejor.",14,19,76,2678
"Trabajo todos los días para cumplirle a la gente, que me da el regalo más valioso: su confianza y amistad.",0,1,30,379
Los sonidos de Jalisco enamoran a todo México. ¡Viva Jalisco! ¡Viva el mariachi!,1,2,40,620
Alguna vez mi madre me dijo que la confianza es difícil de ganar porque se sostiene con nuestro diario actuar. Veamos este nuevo día como una oportunidad para estar a la altura de nuestros dichos.,1,4,41,693
#REDelectoral la encuestadora #CEresearch reporta al @DrCarlosLomeli como puntero en el ejercicio de reconocimiento rumbo a la #Encuesta para determinar al coordinador de la defensa de la 4T en #Jalisco.,1,3,13,633
"Iniciamos nuestra tradicional conferencia de prensa, en este día nublado, tan nublado como la administración del gobierno municipal de Guadalajara.",21,16,75,3000
"Para cerrar la semana, es bueno recordar que el liderazgo se gana con amor y compromiso. Tengan un feliz domingo.",7,16,75,1000
Hoy tuvimos el honor de recibir a la Dra. @Claudiashein en Jalisco. Su compromiso con la Cuarta Transformación nos llena de inspiración. ¡Apoyamos su liderazgo como Coordinadora de Defensa de la 4T!,3,9,56,1000
Agradecido con todas sus muestras de cariño y sus palabras de aliento.,1,1,31,463
"Saludando a una amiga de verdad, la primera mujer en ocupar la mas alta responsabilidad en México: la Dra. @Claudiashein ¡Ella es!",4,15,75,1000
"¡Bienvenida a Jalisco, @Claudiashein!",40,45,180,7000
"Hoy, mientras compartía con mi esposa e hijas, reflexionaba sobre cómo he tenido la bendición de conocer cada rincón de Jalisco y, en cada comunidad, he tenido al menos una amiga o amigo. ¡Qué hermoso regalo me ha dado Dios!",14,7,54,2000
"El día de hoy, tuve el gusto de compartir un momento muy especial con las y los vecinos de Tonalá, quienes me invitaron a conversar sobre mi deseo de coordinar los Comités de Defensa de la Cuarta Transformación en Jalisco. Todavía falta mucho por hacer en Jalisco. Sigamos defendiendo el único movimiento que ama y respeta al pueblo. ¡Gracias a la cuna alfarera por la invitación!",3,6,44,1069
"¿Cómo están? Cuando leo sus comentarios en las redes sociales y escucho a la gente en mis recorridos, no solo los comprendo, sino que también encuentro el camino para trabajar incansablemente por un futuro mejor para el estado. La vida me ha enseñado a tener el compromiso de servir y trabajar con honestidad, dedicación y pasión.",4,4,37,997
"El día de hoy se realizó la segunda Sesión Extraordinaria del Consejo Estatal de Morena Jalisco, de la que salimos más fortalecidos como movimiento. Agradezco a mis compañeras y compañeros por su compromiso y dedicación. Estamos llamados a ser parte de un proyecto transformador para Jalisco, y juntos lograremos un estado más justo y equitativo. En este camino, nuestra unidad es nuestra mayor fortaleza. Sigamos adelante con un proceso interno limpio, incluyente y respetuoso, y que sea el pueblo de Jalisco quien decida. ¡Juntas y juntos somos más fuertes!",21,17,106,5119
Todo se puede lograr si trabajamos con convicción y honestidad. ¡Hagamos posibles nuestros sueños!,21,6,57,2000
"Aquí estoy, con la cabeza en alto y el corazón encendido, a punto de alcanzar este sueño. ¡Vamos unidos por la esperanza! ¡Vamos unidos por Jalisco! ¡Vamos unidos por México!",31,19,89,3000
"Tenemos frente a nosotros una enorme responsabilidad, Pero podemos con ella. El destino nos llama. Estamos llamados a ser parte de un proyecto muy grande que es la transformación de una realidad que duele al pueblo de Jalisco. A mis compañeros les subrayo que estamos comprometidos a realizar un proceso interno limpio, incluyente y respetuoso, porque tenemos que salir más unidos y fortalecidos que nunca.",5,9,65,2057
"A Jalisco le urge que llegue la Cuarta Transformación, porque necesitamos que regresen la paz y tranquilidad, que haya rumbo, educación y seguridad para nuestros jóvenes, que las mujeres y niñas puedan regresar seguras a casa. Nos merecemos un gobierno lleno de oportunidades, de crecimiento, de desarrollo y bonanza, sin saqueo, sin corrupción, sin racismo, sin clasismo y sin regateo para las y los jaliscienses.",59,23,107,24100
"Hoy nos acompañan en nuestra #MañaneraGdl usuarios del Centro de Atención Metropolitana Integral para una Vida Digna con Discapacidad (CEAMIVIDA), a quienes con el uso de la fuerza pública se les impidió el acceso al salón de pleno, el martes pasado durante la sesión de Ayuntamiento. Los usuarios y sus familias piden que no sean reubicados del lugar en donde desde hace años han recibido atención por parte del @DIFGUADALAJARA.",4,8,34,1000
"Hace una semana, en este mismo espacio, realizamos un análisis de los dos años de gestión del gobierno de Pablo Lemus y evidenciamos que en este periodo, lo que más ha prevalecido es la corrupción, la impunidad, la simulación, el engaño, la superficialidad y la ineptitud. #MañaneraGdl",6,7,39,1636
"Las y los regidores de morena en Guadalajara, presentamos una denuncia ante la Fiscalía Especializada en Combate a la Corrupción, por la negligencia que la Contraloría Ciudadana de este municipio ha tenido para investigar los actos de corrupción que hemos expuesto reiteradamente, en la contratación, compra y arrendamientos de bienes y servicios. #MañaneraGdl",23,21,68,5187
"Esta Transformación está avanzando en todo el país y ya nadie la detiene; es el momento de que se escuche la voz de Jalisco y de quienes queremos un estado de bienestar, tranquilidad y prosperidad. ¡En 2024, nuestro destino está en nuestras manos!",15,12,54,1000
A @fisgonmonero y al equipo del @infpmorena le debemos que en @PartidoMorenaMx todos los cuadros tengamos una ideología bien definida a favor del bienestar y de poner siempre primero a los pobres en este proyecto de país. ¡Nos quedan muchos años de trabajar juntos por Jalisco y México!,16,8,67,1676
"Las y los regidores de Morena hemos destapado la corrupción y la negligencia del gobierno municipal de Guadalajara en estos dos años de administración. Trabajamos incansablemente por la transformación de Guadalajara y de todo Jalisco. ¡Juntos, lo haremos posible!",31,16,51,1000
"En cada sesión del Ayuntamiento de Guadalajara, reafirmo mi compromiso de trabajar por las causas de los miles de tapatíos que confiaron en mí. No tengan duda que así seguiré, cumpliendo con mis compromisos y mi palabra.",11,8,52,2000
Estoy muy contento de que la Dra. @Claudiashein sea la coordinadora de los Comités de Defensa de la Cuarta Transformación. Les comparto mi columna al respecto en El Occidental:,3,0,27,612
"El alcalde de Guadalajara ha utilizado los recursos públicos para beneficio personal, ha enriquecido a sus amigos y cómplices con contratos públicos y ha utilizado su poder para obtener favores económicos. Su ambición tiene a Guadalajara sumida en la opacidad, en el caos, en la basura, en la inseguridad, en las inundaciones y en el abandono. Lo bueno que ya se va. ",145,101,211,16000
"En Jalisco los derechos de las mujeres deben garantizarse, caminar con tranquilidad, vivir libres de violencia y con igualdad de oportunidades. Estos son sus derechos, y lucharemos juntas y juntos por cada uno de ellos",2,2,37,603
"Manteniendo firme nuestro compromiso de unidad, lograremos hacer realidad la transformación de Jalisco. ¡Sigamos adelante con determinación!",6,8,48,1000
"Hoy he vuelto al Templo de Nuestra Señora de la Merced, el lugar al que mi mamá solía llevarme cuando era niño. Siempre regresamos a los lugares donde fuimos más felices y hoy estoy aquí para dar gracias por todas las bendiciones recibidas y recargar fuerzas para lo que está por venir. Además, he tenido la oportunidad de disfrutar junto a mi familia de uno de los tesoros gastronómicos de Guadalajara: las exquisitas flautas del Mercado Corona. ¡Les deseo a todos un feliz domingo!",2,1,28,402
"¡Un trago amargo! Mientras la ciudad sufre por la falta de agua limpia, Movimiento Ciudadano parece tener sed... de dinero público. En lugar de resolver la crisis del agua, prefieren subir más impuestos y gastar a manos llenas. ¡Que no te engañen! #AguasConLosNaranjas",0,0,28,350
