,texto,tokens,sentimiento
385,amigas y amigos de chiapas con motivo de las celebraciones navideñas les envío un mensaje fraterno esperando pasen un días llenos de amor y paz en compañía de su familia,"['amigas', 'y', 'amigos', 'de', 'chiapas', 'con', 'motivo', 'de', 'las', 'celebraciones', 'navideñas', 'les', 'envío', 'un', 'mensaje', 'fraterno', 'esperando', 'pasen', 'un', 'días', 'llenos', 'de', 'amor', 'y', 'paz', 'en', 'compañía', 'de', 'su', 'familia']",0.6124
386,"hemos trabajado 4 años con mucho orgullo representando al pueblo de chiapas y a méxico 

ya puedes ver mi","['hemos', 'trabajado', '4', 'años', 'con', 'mucho', 'orgullo', 'representando', 'al', 'pueblo', 'de', 'chiapas', 'y', 'a', 'méxico', 'ya', 'puedes', 'ver', 'mi']",0.0
387,asistimos a la reunión con legisladores federales encabezada por el presidente,"['asistimos', 'a', 'la', 'reunión', 'con', 'legisladores', 'federales', 'encabezada', 'por', 'el', 'presidente']",0.0
388,las personas trabajadoras del hogar hoy cuentan con seguridad social gracias a la labor que realizamos desde el,"['las', 'personas', 'trabajadoras', 'del', 'hogar', 'hoy', 'cuentan', 'con', 'seguridad', 'social', 'gracias', 'a', 'la', 'labor', 'que', 'realizamos', 'desde', 'el']",0.0
389,querido pueblo de chiapas hoy rindo ante ustedes mi,"['querido', 'pueblo', 'de', 'chiapas', 'hoy', 'rindo', 'ante', 'ustedes', 'mi']",0.0
390,desde el,"['desde', 'el']",0.0
391,desde el,"['desde', 'el']",0.0
392,"reconocemos el papel de la mujer indígena en chiapas por ello desde el senado impulsamos acciones que fomenten su participación en actividades económicas y laborales 

sigue la transmisión","['reconocemos', 'el', 'papel', 'de', 'la', 'mujer', 'indígena', 'en', 'chiapas', 'por', 'ello', 'desde', 'el', 'senado', 'impulsamos', 'acciones', 'que', 'fomenten', 'su', 'participación', 'en', 'actividades', 'económicas', 'y', 'laborales', 'sigue', 'la', 'transmisión']",0.0
393,rechazamos rotundamente todo tipo de violencia y aquello que atente contra la integridad de las personas expreso mi solidaridad con,"['rechazamos', 'rotundamente', 'todo', 'tipo', 'de', 'violencia', 'y', 'aquello', 'que', 'atente', 'contra', 'la', 'integridad', 'de', 'las', 'personas', 'expreso', 'mi', 'solidaridad', 'con']",0.0
394,desde el,"['desde', 'el']",0.0
395,"con nuestro trabajo legislativo hoy los programas sociales son un derecho y llegan directamente a los bolsillos de la gente mayor bienestar para todas y todos

sigue la transmisión","['con', 'nuestro', 'trabajo', 'legislativo', 'hoy', 'los', 'programas', 'sociales', 'son', 'un', 'derecho', 'y', 'llegan', 'directamente', 'a', 'los', 'bolsillos', 'de', 'la', 'gente', 'mayor', 'bienestar', 'para', 'todas', 'y', 'todos', 'sigue', 'la', 'transmisión']",0.0
396,legislamos en favor del pueblo es un honor acompañar al presidente,"['legislamos', 'en', 'favor', 'del', 'pueblo', 'es', 'un', 'honor', 'acompañar', 'al', 'presidente']",0.7096
397,celebramos la aprobación en general del primer dictamen del plan b de la reforma electoral iniciativa del presidente,"['celebramos', 'la', 'aprobación', 'en', 'general', 'del', 'primer', 'dictamen', 'del', 'plan', 'b', 'de', 'la', 'reforma', 'electoral', 'iniciativa', 'del', 'presidente']",0.0
399,las y los trabajadores ahora tienen,"['las', 'y', 'los', 'trabajadores', 'ahora', 'tienen']",0.0
400,me alegra informarles que nuestra iniciativa de reforma a la ley federal del trabajo fue aprobada por unanimidad y entrará en vigor a partir del 1 de enero del 2023 más derechos para todas y todos,"['me', 'alegra', 'informarles', 'que', 'nuestra', 'iniciativa', 'de', 'reforma', 'a', 'la', 'ley', 'federal', 'del', 'trabajo', 'fue', 'aprobada', 'por', 'unanimidad', 'y', 'entrará', 'en', 'vigor', 'a', 'partir', 'del', '1', 'de', 'enero', 'del', '2023', 'más', 'derechos', 'para', 'todas', 'y', 'todos']",0.2732
401,desde el,"['desde', 'el']",0.0
402,"se aprueba establecer 12 días de vacaciones en el primer año de labores en la ley federal del trabajo por unanimidad con 116 votos a favor

eso no es todo conoce más de las modificaciones en beneficio de los derechos de las y los trabajadores","['se', 'aprueba', 'establecer', '12', 'días', 'de', 'vacaciones', 'en', 'el', 'primer', 'año', 'de', 'labores', 'en', 'la', 'ley', 'federal', 'del', 'trabajo', 'por', 'unanimidad', 'con', '116', 'votos', 'a', 'favor', 'eso', 'no', 'es', 'todo', 'conoce', 'más', 'de', 'las', 'modificaciones', 'en', 'beneficio', 'de', 'los', 'derechos', 'de', 'las', 'y', 'los', 'trabajadores']",0.128
403,amigas y amigos el próximo 17 de diciembre estaré presentando mi,"['amigas', 'y', 'amigos', 'el', 'próximo', '17', 'de', 'diciembre', 'estaré', 'presentando', 'mi']",0.0
