,comentarios,repost,likes,views_reactions,views_reactions_log,red_social
24,38.0,34.0,198.0,227.0,5.424950017481403,FACEBOOK
25,26.0,9.0,198.0,229.0,5.43372200355424,FACEBOOK
26,18.0,12.0,147.0,166.0,5.111987788356544,FACEBOOK
27,25.0,34.0,264.0,516.0,6.246106765481563,FACEBOOK
28,65.0,67.0,314.0,368.0,5.908082938168931,FACEBOOK
29,33.0,20.0,258.0,305.0,5.720311776607412,FACEBOOK
30,47.0,22.0,166.0,194.0,5.267858159063328,FACEBOOK
31,41.0,40.0,262.0,469.0,6.150602768446279,FACEBOOK
32,15.0,5.0,67.0,81.0,4.394449154672439,FACEBOOK
33,73.0,11.0,263.0,318.0,5.762051382780177,FACEBOOK
34,40.0,21.0,218.0,255.0,5.541263545158426,FACEBOOK
35,22.0,25.0,200.0,235.0,5.459585514144159,FACEBOOK
36,60.0,29.0,305.0,349.0,5.855071922202427,FACEBOOK
37,69.0,48.0,238.0,294.0,5.683579767338681,FACEBOOK
38,80.0,65.0,240.0,295.0,5.68697535633982,FACEBOOK
39,16.0,10.0,126.0,144.0,4.969813299576001,FACEBOOK
40,52.0,14.0,213.0,248.0,5.5134287461649825,FACEBOOK
41,43.0,17.0,181.0,223.0,5.407171771460119,FACEBOOK
42,59.0,21.0,251.0,286.0,5.655991810819852,FACEBOOK
43,59.0,27.0,260.0,307.0,5.726847747587197,FACEBOOK
44,130.0,16.0,544.0,784.0,6.664409020350408,FACEBOOK
45,34.0,12.0,98.0,117.0,4.762173934797756,FACEBOOK
46,26.0,4.0,111.0,132.0,4.882801922586371,FACEBOOK
47,61.0,78.0,398.0,486.0,6.186208623900494,FACEBOOK
48,67.0,95.0,427.0,515.0,6.244166900663736,FACEBOOK
49,88.0,16.0,460.0,530.0,6.272877006546167,FACEBOOK
50,65.0,60.0,248.0,284.0,5.648974238161206,FACEBOOK
51,80.0,16.0,314.0,365.0,5.8998973535824915,FACEBOOK
52,49.0,20.0,243.0,274.0,5.6131281063880705,FACEBOOK
53,18.0,13.0,130.0,146.0,4.983606621708336,FACEBOOK
54,64.0,27.0,272.0,311.0,5.739792912179234,FACEBOOK
55,24.0,18.0,135.0,154.0,5.0369526024136295,FACEBOOK
56,105.0,37.0,529.0,773.0,6.650279048587422,FACEBOOK
57,36.0,28.0,273.0,472.0,6.156978985585555,FACEBOOK
58,24.0,25.0,183.0,212.0,5.356586274672012,FACEBOOK
59,26.0,36.0,273.0,303.0,5.713732805509369,FACEBOOK
60,43.0,14.0,263.0,291.0,5.673323267171493,FACEBOOK
61,16.0,12.0,145.0,162.0,5.087596335232384,FACEBOOK
62,109.0,70.0,415.0,496.0,6.206575926724928,FACEBOOK
63,36.0,34.0,275.0,319.0,5.765191102784844,FACEBOOK
64,148.0,107.0,710.0,1024.0,6.931471805599453,FACEBOOK
65,53.0,22.0,129.0,180.0,5.19295685089021,FACEBOOK
66,102.0,48.0,495.0,632.0,6.448889394146858,FACEBOOK
67,7.0,7.0,99.0,113.0,4.727387818712341,FACEBOOK
68,12.0,19.0,251.0,406.0,6.0063531596017325,FACEBOOK
69,16.0,26.0,331.0,492.0,6.198478716492308,FACEBOOK
70,91.0,5.0,279.0,307.0,5.726847747587197,FACEBOOK
71,8.0,11.0,112.0,121.0,4.795790545596741,FACEBOOK
72,33.0,38.0,224.0,495.0,6.20455776256869,FACEBOOK
